Локация,Количество
Кыштым,15
Магдагачинский район,15
Шарангский  округ,15
с. Каргасок,15
Новый Уренгой,15
Череповецкий район,15
Нижнеспасское,15
Биракан,15
Озерск,15
Павловский Посад,15
Реутов,15
реки Кубань,15
реки бассейна р. Кубань,15
Черное море,15
Тобол,15
город Королёв,15
Октябрьское,15
областной центр,15
Макаровский район,15
Дегтярск,15
Приморский,15
с. Донское,15
Алданский район,15
Старое Авкиманово,15
п. Урал,15
Лаптева,15
микрорайон Тополя,14
Коломна,14
Глазов,14
Балейский район,14
Сыктывкар район,14
Дальнереченск,14
Лаишевский  район,14
Емельяновский район,14
Фрязино,14
р. Амур,14
Армянск,14
Красногвардейский район,14
Ключи,14
Наурский район,14
Вологодский округ,14
Костомукша,14
Ейск,14
Городовиковский район,14
город Шахты,14
Луховицы,14
Городской округ Шатура,14
Кудымкарский  округ,14
Малопургинский район,14
Волчихинский район,14
Малгобекский район,14
Бабушкинский округ,14
город Новороссийск,14
Петровск-Забайкальский район,14
Барун-Хемчикский район,14
Оленегорск,14
Алексин,14
с. Табага,14
Мирнинский район,14
Томпонский район,14
Холмогорский,14
Плесецкий,14
Виноградовский,14
река Конда,14
Лангепас,13
река Индигирка,13
город Кулебаки,13
Тунгуска,13
Сюмсинский район,13
Урай,13
река Кострома,13
д. Дятлово,13
Новоалтайск,13
Нижегородская область,13
Красногорский район,13
Койгородский район,13
Большой Камень,13
Объячево,13
Бикинский район,13
Соль-Илецкий городской округ,13
с. Абатское,13
Владимир,13
Можга,13
Валдайский  район,13
город Белореченск,13
Отрадненский район,13
Майкоп,13
Ясногорский район,13
город Истра,13
Быстринский район,13
Октябрьский округ,13
Вяземский район,13
Лазаревский район,13
Шахты,13
Покачи,13
Петропавловский район,13
Абдулинский городской округ,13
Александровский район,13
город Орск,13
Кирилловский округ,13
юго-западный район,13
п.,13
река Зея,13
Борзинский район,13
Рузаевка,13
Кувандыкский городской округ,13
с. Чебаклей,13
д. Полибино,13
д. Царево-Займище,13
Николаевск-на-Амуре,13
река Онон,13
микрорайон Кангалассы,13
Сунтарский район,13
Горный район,13
Вадовские Селищи,13
г. Камень-на-Оби,13
Онежский,13
Шенкурский,13
Няндомский,13
Каргопольский,13
Вельский,13
Темляково,13
река Назым,13
река Оленек,12
город Хабаровск,12
город Нарьян-Мар,12
д. Меледино,12
д. Федьково,12
река Хупта,12
город Рязань,12
Усть-Донецкий район,12
река Исеть,12
Щекинский район,12
Нюксенский округ,12
с. Подгорное,12
г. Киров,12
Бурзянский район,12
Клявлинский район,12
наледеобразование,12
Городской округ Люберцы,12
Соболевский район,12
Стерлитамак,12
Покровка,12
г. Уфа,12
Кигинский район,12
Дебесский район,12
Белокуриха,12
Терский район,12
Ижма,12
Волгодонск,12
город Иваново,12
Карсунский район,12
д. Козюлино,12
Шелковской район,12
город Белгород,12
город Курск,12
Бронницы,12
Хасанский район,12
Александровск-Сахалинский,12
Долинск,12
город Алатырь,12
населенные пункты,12
Златоуст,12
город Бузулук,12
Кувандык,12
г. Саранск,12
г. Абаза,12
Звериноголовский округ,12
город Тобольск,12
г. Демидов,12
Ириклинское водохранилище,12
Олекминский район,12
Нерюнгринский район,12
Песочное Канаково,12
Красная Пресня,12
п. Камский,12
д. Светлаковы,12
р. Обь,12
г. Бийск,12
Няндомский  округ,12
с. Кышик,12
река Енисей,11
Нефтекамск,11
река Хор,11
Урал,11
Алушта,11
Печенгский округ,11
Алькеевский  район,11
Томский район,11
Мечетлинский район,11
Койгородский,11
Сызранский район,11
Сызрань,11
с. Борисово-Судское,11
река Раздольная,11
Чердаклинский район,11
Вытегорский район,11
Северо-Запад,11
г. Сочи,11
Тула,11
г.Ивантеевка,11
Мичуринск,11
город Тула,11
Усть-Большерецкий,11
Мильковский район,11
Чурапчинский район,11
Новиково,11
Железногорск,11
Куйбышевский район,11
Любытинский район,11
Выборг,11
Урюпинск,11
город Майкоп,11
город Керчь,11
Никольское,11
Южноуральск,11
"СНТ ""Виктория""",11
Ковровский район,11
Елец,11
Домодедово,11
Лазовский округ,11
Набережные Челны,11
река Нерча,11
предгорные районы,11
Город Нарьян-Мар,11
Великоустюгский округ,11
Рефтинский,11
Верхний Уфалей,11
Васильевский остров,11
Великие Луки,11
город Шумерля,11
Мультинское участковое лесничество,11
Усть-Калманский район,11
Новоуральск,11
Копейск,11
Вилюйский район,11
Лаушки,11
п. Афанасьево,11
Камень-на-Оби,11
Улаганское участковое лесничество,11
п. Победа,11
с. Александровское,11
с. Молчаново,11
Коношский,11
Коряжма,11
река Чагодоща,11
город Воркута,10
Нязепетровский район,10
западные районы,10
Партизанский  округ,10
Эльбрусский район,10
р. Кострома,10
Советско-Гаванский район,10
Качканар,10
г. Дзержинск,10
река Белая,10
Батыревский  округ,10
Озёры,10
город Шахунья,10
Вешкаймский район,10
Давлекановский район,10
побережье Приморского края,10
северо-западные районы,10
Гатчина,10
г. Краснодар,10
Город Льгов,10
Электрогорск,10
г. Южно-Сахалинск,10
Александровск-Сахалинский район,10
Мильковский,10
Японское море,10
Красноармейский,10
Партизанский район,10
Северо-Байкальский район,10
Инзенский район,10
Башкирия,10
горные районы КЧР,10
Пинежский  округ,10
Тихорецкий район,10
Новошахтинск,10
г.о. Подольск,10
Протвино,10
река Амазар,10
Надеждинский район,10
район имени Лазо,10
Охотское,10
город Бугуруслан,10
Нытва,10
Чернушинский округ,10
Шаранский район,10
Новотроицк,10
Нижнеингашский район,10
г. Новосибирск,10
Каа-Хемский район,10
Улуг-Хемский кожуун,10
с.,10
Северная Двина,10
Вожегодский округ,10
ЗАТО Знаменск,10
Притобольный округ,10
река Истья,10
Солонешенский район,10
Поморье,10
микрорайон Глинки,10
с. Звериноголовское,10
г. Рудня,10
Протва,10
слобода Широковская,10
Грачевник,10
Васильевка,10
Ининское участковое лесничество,10
п. Сибирский,10
п. Горноправдинск,10
п. Выкатной,10
г. Кызыл,9
река Волга,9
Северск,9
с. Ильинка,9
Город Шумерля,9
Шумихинский  округ,9
Симферопольский район,9
Адлер,9
д. Кравцово,9
Пудожский район,9
Туапсе,9
Михайловка,9
Нижневартовский район,9
Увинский район,9
г. Томск,9
Солигалич,9
Волоколамский округ,9
Павловский район,9
Зарайск,9
Юсьвинский  округ,9
Воткинский район,9
Кош-Агачский район,9
Тотемский округ,9
город Элиста,9
Орловский район,9
Тополя,9
Смолино,9
город Псков,9
Прохладненский район,9
Майский район,9
Лескенский район,9
Минераловодский округ,9
Апшеронский район,9
Кавказский район,9
Лабинский район,9
Красноперекопский район,9
городской округ Шаховская,9
Шаховская,9
Усть-Камчатский,9
Ольгинский,9
Селенгинский район,9
Анадырь,9
Балтачевский район,9
Дзун-Хемчикский кожуун,9
Ставрополье,9
горы Крыма,9
Полевской,9
Тавдинский городской округ,9
Бреды,9
город Великие Луки,9
Минусинск,9
река Урка,9
река Чара,9
Елизовский  район,9
Магадан,9
Шкотовский район,9
Томари,9
Тугуро-Чумиканский район,9
Могочинский район,9
Луговое,9
Синегорск,9
Подгорное,9
Углегорск,9
Дубенский район,9
город Дзержинск,9
Бугурусланский район,9
Чишминский район,9
Кузоватовский район,9
Усть-Кубинский округ,9
ГО «Воркута»,9
Городской округ город Астрахань,9
юго-восточный район,9
Нефтеюганск,9
Южный Урал,9
Дмитров,9
Брянский район,9
Серебряные Пруды,9
Июльское участковое лесничество,9
Восточный,9
Анжеро-Судженск,9
Солонцы,9
Котласский  округ,9
Плесецкий округ,9
Ялуторовск,9
Мегион,9
г. Якутск,9
Томаринский район,9
Верхневилюйский район,9
Оймяконский район,9
р. Кама,9
река Большой Кумак,9
Большое Чураево,9
водоемы,9
Республика Мордовия,9
г. Абакан,9
Саракокшинское участковое лесничество,9
паводок,9
р. Иртыш,9
р. Конда,9
д. Редькино,8
река Кия,8
Шахтерск,8
река Инсар,8
Усть-Абаканский район,8
г. Выкса,8
Маловишерский район,8
Уренгой,8
Нея,8
река Ингода,8
Богданович,8
Частинский  округ,8
река Домашка,8
с. Батурино,8
Балахнинский округ,8
город Новосибирск,8
Черлакский район,8
мороз,8
Чугуевский  округ,8
Фаленский  округ,8
Выльгорт,8
город Фролово,8
город Туапсе,8
южные районы Крыма,8
река Уда,8
Ханкайский округ,8
Пий-Хемский кожуун,8
Серноводский район,8
Белозерский район,8
Камышин,8
Красноармейский район,8
край,8
Кущевская,8
Новокубанский район,8
Яшкуль,8
г.Астрахань,8
Курский район,8
Северо-Курильский район,8
Быстринский,8
Хасанский,8
Пограничный,8
Ханкайский,8
Лазовский,8
Корсаковский городской округ,8
Чапаево,8
Соловьевка,8
Комсомольский район,8
Прикамье,8
Ильинский городской округ,8
Жигулевск,8
город Заринск,8
Лагерный сад,8
Гудермесский район,8
Апанасенковский  округ,8
Красная Поляна,8
Гулькевичский район,8
Надымский район,8
Чесма,8
Степное,8
"СНТ ""Стрела""",8
Горшеченский район,8
Дмитриевский район,8
город Липецк,8
Дмитровский городской округ,8
Городской округ Коломна,8
Уварово,8
Узловский район,8
Ростовский район,8
п. Ерофей Павлович,8
Город Чита,8
Хорольский округ,8
г. Комсомольск-на-Амуре,8
г. Бор,8
ЗАТО Звёздный,8
Учалинский район Республики Башкортостан,8
Город Казань,8
Город Саратов,8
Глазовский район,8
Баганский район,8
Черкесск,8
г. Кисловодск,8
Предгорный округ,8
Пушкиногорский район,8
Приморский район,8
Демянский  округ,8
Приютненский район,8
Полевской городской округ,8
Брединский  район,8
с. Шелемишево,8
Пустотино,8
река Мостья,8
Сосновка,8
Обнинск,8
река Кур,8
Карымский район,8
с. Соболево,8
р. Пьяна,8
Акбулак,8
Междуреченск,8
Красноселькуп,8
Яр-Сале,8
с. Прорывное,8
Кондинский район,8
г. Благовещенск,8
Кольчем,8
Таттинский район,8
Амгинский район,8
Ленский,8
Сакмара,8
п. Лысые Горы,8
Большой Енисей,8
Лешуконский,8
Мезенский,8
Пинежский,8
Котласский район,8
река Чагода,8
п. Молодежный,8
Осиновая балка,8
Краснотурьинск,8
г. Ханты-Мансийск,8
р. Назым,8
Териберка,7
Югорск,7
Кстовский район,7
река Тунгуска,7
река Амгунь,7
Снежногорск,7
Кинель-Черкассы,7
городской округ Красногорск,7
река Пур,7
с. Заречное,7
Администрация МО «Вуктыл»,7
Спасский  район,7
город Среднеколымск,7
Юкаменский район,7
Якшур-Бодьинский район,7
Краснозоренский район,7
Город Биробиджан,7
Березовский район,7
Михайловский  район,7
Унинский  округ,7
восточные районы Крыма,7
город Батайск,7
река Дон,7
Глинки,7
Ильинское,7
Мытищи,7
р. Бира,7
Невельский район,7
Ноглики,7
Советский,7
Салаватский район,7
Надтеречный район,7
г. Назрань,7
город Ставрополь,7
река Сухона,7
п. Северный,7
Калмыкия,7
Северский район,7
г. Севастополь,7
Севастополь,7
Североуральский городской округ,7
Наро-Фоминский городской округ,7
Вязниковский район,7
Жуковский,7
Рыбинск,7
река Подхоренок,7
город Зея,7
город Петропавловск-Камчатский,7
Козельский,7
Корякский,7
Авачинский,7
Хорольский,7
Михайловский,7
Шкотовский,7
Кавалеровский,7
Кавалерово,7
Иволгинский район,7
восток края,7
Озерское,7
Камбарский район,7
Гоньба,7
Научный Городок,7
Тес-Хемский кожуун,7
горы КЧР выше 1500 метров,7
река Герхожан-Суу,7
Ухта район,7
Заозерск,7
р. Печора,7
Хостинский район,7
северный район,7
Волжский,7
территория МО Крымский район,7
Темрюк,7
Куртамышский округ,7
Сямженский округ,7
Варна,7
Карталы,7
Кизильское,7
Мариинский,7
Фершампенуаз,7
Париж,7
Джабык,7
Татищево,7
Кужебаевский,7
Троицк,7
город Боровск,7
Солнцевский район,7
Власиха,7
город Орел,7
река Витим,7
Облученское городское поселение,7
Партизанский,7
Тернейский,7
реки Крыма,7
Долинский,7
Аяно-Майский район,7
город Анадырь,7
Оха,7
Ардатовский район,7
река Бузулук,7
Краснощеково,7
Северный район,7
Чайковский городской округ,7
Белорецкий район,7
город Саранск,7
Волжский район,7
город Ульяновск,7
Тереньгульский район,7
п. Светлый,7
Николаевка,7
город Барнаул,7
г. Красноярск,7
Чеди-Хольский кожуун,7
Кожевниковский район,7
Онежский район,7
Курганская область,7
Кириллов,7
Междуреченский округ,7
река,7
г. Лабинск,7
Садовое,7
Петуховский  округ,7
Радужный,7
Василеостровский район,7
Клин,7
Белгородский район,7
Ульяново,7
с. Тахта,7
Среднеколымск,7
Навашинский район,7
г. Оренбург,7
Энгельс,7
Цильнинский район,7
Теньгинское участковое лесничество,7
город Иркутск,7
Целинный округ,7
Аксарка,7
Салемал,7
Панаевск,7
Всходы,7
д. Воронцово,7
с. Сосновка,7
Тыр,7
Монгол,7
Софийск,7
Артём,7
Намский район,7
Ленский район,7
Березняки,7
г. Мирный,7
Новочебоксарск,7
Киселевка,7
Ташлинский район,7
река Медведица,7
река Кондома,7
Малый Енисей,7
Колпашевский район,7
Вилегодский,7
Котласский,7
Верхнетоемский,7
Устьянский,7
Красноборский,7
река Пёза,7
д. Куликово,7
низменности,7
микрорайон Челноково,7
д. Губина,7
Варавино-Фактория,6
Нефтегорский район,6
Кетовский  округ,6
река Вага,6
Ютазинский  район,6
река Пинега,6
Троснянский район,6
Читинский район,6
Безверхово,6
г. Ульяновск,6
территория республики,6
г.Казань,6
Челно-Вершины,6
Козьмодемьянск,6
Большереченский район,6
Агрызский район,6
Буинский  район,6
Богатовский район,6
Похвистневский район,6
Богучанский район,6
Молчановский район,6
Красный Яр,6
Тамбовский  округ,6
Тындинский округ,6
Анучинский  округ,6
Солнечный  район,6
Малиновка,6
Ново-Александровск,6
г. Арзамас,6
Вятскополянский район,6
Кунгурский округ,6
река Кама,6
Лесосибирск,6
Краснодарский край,6
Звериноголовское,6
Сафакулевский  округ,6
Городской округ Верхнее Дуброво,6
Рошаль,6
город Мценск,6
Дзержинский,6
Биробиджанский район,6
п. Октябрьский,6
Сокол,6
Хайбуллинский район,6
Кизнерский район,6
северные районы Ингушетии,6
Назрановский район,6
Солецкий  округ,6
МР «Троицко-Печорский»,6
п. Комсомольский,6
горы Республики Адыгеи,6
Абинский район,6
Курганинский район,6
Мостовский район,6
Судак,6
Макушинский  округ,6
Волчанский городской округ,6
п. Никель,6
Спасский район,6
город Алексин,6
Смирныховский район,6
Курильские острова,6
Соболевский,6
вулканы Вилючинский,6
город Большой Камень,6
Анучинский,6
Дальнереченский,6
ЗАТО Фокино,6
Кяхтинский район,6
Тарбагатайский район,6
Хабаровский район,6
Уссурийский городской округ,6
Амурский район,6
Березники,6
Юрлинский  округ,6
Зилаирский район,6
Чекмагушевский район,6
Комсомольский,6
Город Новоульяновск,6
с. Гоньба,6
п. Научный Городок,6
центральные и южные районы Красноярского края,6
Каратузский район,6
Кызылский кожуун,6
Шегарка,6
северо-восточные районы КБР,6
северные и центральные районы КЧР,6
Тарногский округ,6
Лахденпохский район,6
Центральный район,6
город Михайловка,6
Даниловский район,6
г. Симферополь,6
Горноуральский городской округ,6
Нижнетуринский городской округ,6
Светлогорск,6
Черноречье,6
Синий Шихан,6
Город Щигры,6
городской округ Воскресенск,6
Талдомский городский округ,6
Чехов,6
город Тамбов,6
Плавский район,6
Стародуб,6
Сергиев Посад,6
городской округ Солнечногорск,6
город Уварово,6
Раздольное,6
о. Сахалин,6
Надеждинский  район,6
Углегорский ГО,6
им. Лазо,6
Хилокский район,6
Краснополье,6
Взморье,6
Зубово-Полянский район,6
Арбажский  округ,6
город Бор,6
город Оренбург,6
Кваркенский район,6
Нытвенский район,6
Белорецк,6
Федоровский район,6
Город Ковылкино,6
Тукаевский  район,6
Левобережье,6
Майнский район,6
п. Адамовка,6
Пенза,6
Иглинский район,6
Город Барнаул,6
Топкинский округ,6
Краснотуранский район,6
Барабинский район,6
Чойский район,6
горы КБР,6
Цунтинский район,6
"МР ""Печора""",6
Вашкинский округ,6
Шекснинский район,6
Выборгский район,6
Ковдор,6
Окуловский  район,6
Пестовский округ,6
Хвойнинский  округ,6
Воркутинский район,6
МР «Сосногорск»,6
Виноградовский округ,6
Соломбала,6
Красное,6
ЮБК,6
город Шадринск,6
Туринский городской округ,6
Тазовский район,6
район,6
Усть-Уйское,6
Плесецкий район,6
Псковский район,6
Трубчевский район,6
д. Узорово,6
Черняевка,6
Кипчаково,6
с. Троица,6
Заокский район,6
Дмитровский округ,6
Ленинский округ,6
Первомайский,6
Шилкинский район,6
Петровск-Забайкальский,6
г. Урень,6
Лысковский район,6
Сорочинск,6
Медногорск,6
Гайский городской округ,6
Сорочинский городской округ,6
Северный,6
г. Архангельск,6
Тихвин,6
Пионерский,6
Каменка,6
Алупка,6
Ханты-Мансийский район,6
Мужи,6
Азовы,6
с. Усть-Уйское,6
Викуловский район,6
Москва-река,6
река Болва,6
Острая Лука,6
Ерофеевская Слобода,6
Полибино,6
Троицкое,6
р. Вятка,6
Дачный,6
город Верхоянск,6
Дуди,6
п. Маго,6
лес,6
Поронайский район,6
с. Бургень,6
с. Усть-Карск,6
город Тында,6
с. Птичник,6
Хангаласский район,6
Долинский район,6
Среднеколымский район,6
Усть-Алданский район,6
г.о. Саранск,6
Инсарский район,6
Ковылкинский район,6
река Илек,6
Татарская Каргала,6
Тулун,6
Онгудайское участковое лесничество,6
п. Каа-Хем,6
с. Зырянское,6
с. Тегульдет,6
город Бабаево,6
Корюкино,6
Белый Яр,6
Кирилловский район,6
микрорайон Черемухово,6
Нижняя Утятка,6
с. Кетово,6
д. Заборка,6
Старая Шадрина,6
д. Белогорье,6
Приуральский район,6
Северный округ,5
Североуральск,5
Далматовский округ,5
Верхнебуреинский район,5
река Бурея,5
реки Бурея,5
реки Мацеста,5
Завьяловский район,5
Кезский район,5
Полярный,5
Гаджиево,5
река Вига,5
Тарко-Сале,5
Яковлевский городской округ,5
Бикинский  район,5
Ульчский  район,5
Забайкальский,5
город Ленск,5
Чапаевск,5
Каракулинский район,5
Тандинский кожуун,5
река Ветлуга,5
Киреевский район,5
прибрежные районы,5
Кинельский район,5
Ставропольский район,5
Киясовский район,5
Ульяновский район,5
п. Луч,5
Сухобузимский район,5
Вологодчина,5
Приморский край,5
центральные районы края,5
Пермь,5
река Вала,5
город Томск,5
Чаинский район,5
Майский,5
Челноково,5
Красноуфимск,5
город Нефтеюганск,5
Упорово,5
Климовский район,5
город Южно-Сахалинск,5
Шкотово,5
Углезаводск,5
Абзелиловский район,5
восточная половина Нижегородской области,5
Шипуново,5
Апанасенковский округ,5
Никольский район,5
п. Воргашор,5
Адыгея,5
Азовское побережье,5
Темрюкский район,5
Восход,5
Шатровский  округ,5
Серовский городской округ,5
горная местность,5
Забайкальский край,5
Камчатка,5
Пенжинский район,5
северные территории края,5
Уссурийский,5
Спасский,5
Чугуевский,5
Яковлевский,5
Кировский,5
Кавалеровский округ,5
реки края,5
город Дальнереченск,5
Бичурский район,5
Закаменский район,5
Кабанский район,5
Прибайкальский район,5
Ванино,5
Лазо,5
Макаров,5
Лесное,5
восток Пермского края,5
Башкортостан,5
Алнашский район,5
Можгинский район,5
Грозненский район,5
Шелковский район,5
город Грозный,5
горные районы КБР,5
"городской округ ""Сыктывкар""",5
Тарногский район,5
Питкярантский округ,5
гололед,5
Чернышковский район,5
